time;conc;serial
0.05;5.7840667;1
0.5;5.0205166;1
1;4.1735157;1
1.5;3.2391098;1
2.5;2.0595294;1
3.5;1.1629296;1
4.5;0.61661652;1
0.05;5.8177613;2
0.5;5.0013787;2
1;3.8120148;2
1.5;3.3748321;2
2.5;2.1615929;2
3.5;1.3883955;2
4.5;0.84140611;2
0.05;5.5169878;3
0.5;5.2531161;3
1;4.4995943;3
1.5;3.6812862;3
2.5;2.3638472;3
3.5;1.5851077;3
4.5;0.97645757;3
0.05;5.5136109;4
0.5;4.7342781;4
1;3.2199313;4
1.5;2.0242458;4
2.5;1.109565;4
3.5;0.60278314;4
4.5;0.52949754;4
0.05;5.441094;5
0.5;5.3764176;5
1;4.7695577;5
1.5;4.1994601;5
2.5;2.9924816;5
3.5;1.9711794;5
4.5;1.2847927;5
6.5;0.49821817;5
0.05;5.5831352;6
0.5;4.7978662;6
1;3.7010113;6
1.5;2.5695933;6
2.5;1.6678487;6
3.5;1.06856;6
4.5;0.56027897;6
6.5;0.59102598;6
0.05;5.8294354;7
0.5;4.4195011;7
1;3.1633282;7
1.5;2.515167;7
2.5;1.3353166;7
3.5;0.5601174;7
4.5;0.45886081;7
6.5;0.46646382;7
0.05;5.8530427;8
0.5;4.1021864;8
1;2.7552656;8
1.5;1.7891364;8
2.5;0.71153603;8
3.5;0.37172433;8
4.5;0.33773556;8
6.5;0.4020074;8
0.05;6.1294528;9
0.5;3.6160757;9
1;2.0306897;9
1.5;0.92654872;9
2.5;0.34428297;9
3.5;0.24324324;9
0.05;5.541761753;10
1;3.320858056;10
1.5;2.408032862;10
2;2.009584665;10
2.5;1.655864902;10
3;1.182565039;10
0.05;5.44637152;11
0.5;3.760839799;11
1;2.378822455;11
1.5;1.826563213;11
2;1.22136011;11
2.5;0.872660885;11
3;0.701962574;11
3.5;0.724326791;11
4;0.794614331;11
0.05;6.042446372;12
0.5;3.788680968;12
1;2.486992241;12
1.5;1.455043359;12
2;1.340483797;12
2.5;1.068918302;12
3;0.577361935;12
3.5;0.661798266;12
4;0.482884528;12
0.05;4.700593336;13
0.5;3.248744865;13
1;2.371976267;13
1.5;1.452761296;13
2;0.839799178;13
2.5;0.767685988;13
3;0.50433592;13
3.5;0.450479233;13
4;0.497946143;13
4.5;0.486992241;13
0.016666667;5.247321566;14
0.5;4.849747959;14
1;4.049585137;14
1.5;3.850147796;14
2;3.325849171;14
2.5;2.713357734;14
3;2.201492046;14
3.5;1.902418908;14
4;1.545634376;14
4.5;1.067318413;14
5;0.784974926;14
0.016666667;5.281244377;15
0.5;5.300104144;15
1;4.621335688;15
1.5;3.995478748;15
2;3.119552661;15
2.5;2.691938512;15
3;2.102937943;15
3.5;1.730812878;15
4;1.133015147;15
4.5;0.916084789;15
5;0.626148231;15
